% time dataX[1] dataX[2]
1.81 0.971527 -0.236929
1.82 0.969109 -0.246632
1.83 0.966594 -0.256311
1.84 0.963983 -0.265964
1.85 0.961275 -0.27559
1.86 0.958471 -0.285189
1.87 0.955572 -0.294759
1.88 0.952576 -0.3043
1.89 0.949486 -0.313811
1.9 0.9463 -0.32329
1.91 0.94302 -0.332736
1.92 0.939645 -0.34215
1.93 0.936177 -0.351529
1.94 0.932615 -0.360873
1.95 0.92896 -0.370181
1.96 0.925212 -0.379452
1.97 0.921371 -0.388685
1.98 0.917438 -0.397879
1.99 0.913413 -0.407033
2 0.909297 -0.416147
2.01 0.905091 -0.425219
2.02 0.900793 -0.434248
2.03 0.896406 -0.443234
2.04 0.891929 -0.452176
2.05 0.887362 -0.461073
2.06 0.882707 -0.469923
2.07 0.877964 -0.478727
2.08 0.873133 -0.487482
2.09 0.868215 -0.496189
2.1 0.863209 -0.504846
2.11 0.858118 -0.513453
2.12 0.85294 -0.522008
2.13 0.847678 -0.530511
2.14 0.84233 -0.538961
2.15 0.836899 -0.547358
2.16 0.831383 -0.555699
2.17 0.825785 -0.563985
2.18 0.820104 -0.572215
2.19 0.814341 -0.580387
2.2 0.808496 -0.588501
2.21 0.802571 -0.596557
2.22 0.796565 -0.604552
2.23 0.79048 -0.612488
2.24 0.784316 -0.620362
2.25 0.778073 -0.628174
2.26 0.771753 -0.635923
2.27 0.765355 -0.643608
2.28 0.758881 -0.65123
2.29 0.752331 -0.658786
2.3 0.745705 -0.666276
2.31 0.739005 -0.6737
2.32 0.732231 -0.681056
2.33 0.725384 -0.688344
2.34 0.718465 -0.695563
2.35 0.711473 -0.702713
2.36 0.704411 -0.709793
2.37 0.697278 -0.716801
2.38 0.690075 -0.723738
2.39 0.682803 -0.730602
2.4 0.675463 -0.737394
2.41 0.668056 -0.744111
2.42 0.660581 -0.750755
2.43 0.653041 -0.757323
2.44 0.645435 -0.763815
2.45 0.637765 -0.770231
2.46 0.630031 -0.77657
2.47 0.622234 -0.782832
2.48 0.614374 -0.789015
2.49 0.606454 -0.795119
2.5 0.598472 -0.801144
2.51 0.590431 -0.807088
2.52 0.582331 -0.812952
2.53 0.574172 -0.818735
2.54 0.565956 -0.824435
2.55 0.557684 -0.830054
2.56 0.549355 -0.835589
2.57 0.540972 -0.84104
2.58 0.532535 -0.846408
2.59 0.524044 -0.851691
2.6 0.515501 -0.856889
2.61 0.506907 -0.862001
2.62 0.498262 -0.867027
2.63 0.489567 -0.871966
2.64 0.480823 -0.876818
2.65 0.472031 -0.881582
2.66 0.463191 -0.886258
2.67 0.454306 -0.890846
2.68 0.445375 -0.895344
2.69 0.436399 -0.899753
2.7 0.42738 -0.904072
2.71 0.418318 -0.908301
2.72 0.409214 -0.912438
2.73 0.400069 -0.916485
2.74 0.390885 -0.92044
2.75 0.381661 -0.924302
2.76 0.372399 -0.928073
2.77 0.3631 -0.93175
2.78 0.353764 -0.935335
2.79 0.344393 -0.938825
2.8 0.334988 -0.942222
2.81 0.325549 -0.945525
2.82 0.316078 -0.948733
2.83 0.306575 -0.951847
2.84 0.297041 -0.954865
2.85 0.287478 -0.957787
2.86 0.277886 -0.960614
2.87 0.268266 -0.963345
2.88 0.258619 -0.965979
2.89 0.248947 -0.968517
2.9 0.239249 -0.970958
2.91 0.229528 -0.973302
2.92 0.219784 -0.975549
2.93 0.210017 -0.977698
2.94 0.20023 -0.979749
2.95 0.190423 -0.981702
2.96 0.180596 -0.983557
2.97 0.170752 -0.985314
2.98 0.16089 -0.986972
2.99 0.151013 -0.988532
3 0.14112 -0.989992
3.01 0.131213 -0.991354
3.02 0.121293 -0.992617
3.03 0.111361 -0.99378
3.04 0.101418 -0.994844
3.05 0.0914646 -0.995808
3.06 0.0815022 -0.996673
3.07 0.0715315 -0.997438
3.08 0.0615537 -0.998104
3.09 0.0515698 -0.998669
3.1 0.0415807 -0.999135
3.11 0.0315874 -0.999501
3.12 0.021591 -0.999767
3.13 0.0115924 -0.999933
3.14 0.00159265 -0.999999
3.15 -0.00840725 -0.999965
3.16 -0.0184063 -0.999831
3.17 -0.0284035 -0.999597
3.18 -0.0383979 -0.999263
3.19 -0.0483884 -0.998829
3.2 -0.0583741 -0.998295
3.21 -0.068354 -0.997661
3.22 -0.078327 -0.996928
3.23 -0.0882922 -0.996095
3.24 -0.0982486 -0.995162
3.25 -0.108195 -0.99413
3.26 -0.118131 -0.992998
3.27 -0.128055 -0.991767
3.28 -0.137966 -0.990437
3.29 -0.147863 -0.989008
3.3 -0.157746 -0.98748
3.31 -0.167612 -0.985853
3.32 -0.177462 -0.984128
3.33 -0.187295 -0.982304
3.34 -0.197108 -0.980382
3.35 -0.206902 -0.978362
3.36 -0.216675 -0.976244
3.37 -0.226427 -0.974028
3.38 -0.236155 -0.971715
3.39 -0.245861 -0.969305
3.4 -0.255541 -0.966798
3.41 -0.265196 -0.964194
3.42 -0.274825 -0.961494
3.43 -0.284426 -0.958698
3.44 -0.293998 -0.955806
3.45 -0.303542 -0.952818
3.46 -0.313054 -0.949735
3.47 -0.322536 -0.946557
3.48 -0.331985 -0.943285
3.49 -0.341401 -0.939918
3.5 -0.350783 -0.936457
3.51 -0.36013 -0.932902
3.52 -0.369441 -0.929254
3.53 -0.378715 -0.925513
3.54 -0.387951 -0.92168
3.55 -0.397148 -0.917755
3.56 -0.406306 -0.913737
3.57 -0.415423 -0.909629
3.58 -0.424498 -0.905429
3.59 -0.433531 -0.901139
3.6 -0.44252 -0.896758
3.61 -0.451466 -0.892288
3.62 -0.460366 -0.887729
3.63 -0.46922 -0.883081
3.64 -0.478027 -0.878345
3.65 -0.486787 -0.873521
3.66 -0.495497 -0.868609
3.67 -0.504159 -0.863611
3.68 -0.512769 -0.858526
3.69 -0.521329 -0.853356
3.7 -0.529836 -0.8481
3.71 -0.538291 -0.842759
3.72 -0.546691 -0.837334
3.73 -0.555037 -0.831826
3.74 -0.563327 -0.826234
3.75 -0.571561 -0.820559
3.76 -0.579738 -0.814803
3.77 -0.587857 -0.808965
3.78 -0.595917 -0.803046
3.79 -0.603918 -0.797047
3.8 -0.611858 -0.790968
3.81 -0.619737 -0.78481
3.82 -0.627554 -0.778573
3.83 -0.635308 -0.772259
3.84 -0.642999 -0.765867
3.85 -0.650625 -0.759399
3.86 -0.658186 -0.752855
3.87 -0.665682 -0.746236
3.88 -0.673111 -0.739542
3.89 -0.680473 -0.732774
3.9 -0.687766 -0.725932
3.91 -0.694991 -0.719018
3.92 -0.702146 -0.712033
3.93 -0.709231 -0.704976
3.94 -0.716246 -0.697848
3.95 -0.723188 -0.690651
3.96 -0.730058 -0.683385
3.97 -0.736856 -0.67605
3.98 -0.743579 -0.668648
3.99 -0.750228 -0.661179
4 -0.756802 -0.653644
4.01 -0.763301 -0.646043
4.02 -0.769723 -0.638378
4.03 -0.776068 -0.630649
4.04 -0.782336 -0.622857
4.05 -0.788525 -0.615002
4.06 -0.794636 -0.607087
4.07 -0.800667 -0.59911
4.08 -0.806618 -0.591073
4.09 -0.812488 -0.582978
4.1 -0.818277 -0.574824
4.11 -0.823984 -0.566613
4.12 -0.829609 -0.558345
4.13 -0.835151 -0.550021
4.14 -0.840609 -0.541642
4.15 -0.845984 -0.533209
4.16 -0.851273 -0.524722
4.17 -0.856478 -0.516184
4.18 -0.861597 -0.507593
4.19 -0.86663 -0.498952
4.2 -0.871576 -0.490261
4.21 -0.876435 -0.481521
4.22 -0.881206 -0.472732
4.23 -0.885889 -0.463897
4.24 -0.890484 -0.455015
4.25 -0.894989 -0.446087
4.26 -0.899405 -0.437115
4.27 -0.903732 -0.4281
4.28 -0.907967 -0.419041
4.29 -0.912112 -0.409941
4.3 -0.916166 -0.400799
4.31 -0.920128 -0.391618
4.32 -0.923998 -0.382397
4.33 -0.927776 -0.373138
4.34 -0.931461 -0.363842
4.35 -0.935053 -0.354509
4.36 -0.938551 -0.345141
4.37 -0.941955 -0.335738
4.38 -0.945266 -0.326302
4.39 -0.948481 -0.316833
4.4 -0.951602 -0.307333
4.41 -0.954628 -0.297802
4.42 -0.957558 -0.288241
4.43 -0.960392 -0.278651
4.44 -0.963131 -0.269033
4.45 -0.965773 -0.259389
4.46 -0.968319 -0.249718
4.47 -0.970767 -0.240022
4.48 -0.973119 -0.230303
4.49 -0.975373 -0.22056
4.5 -0.97753 -0.210796
4.51 -0.979589 -0.20101
4.52 -0.98155 -0.191204
4.53 -0.983413 -0.181379
4.54 -0.985178 -0.171536
4.55 -0.986844 -0.161676
4.56 -0.988411 -0.1518
4.57 -0.98988 -0.141908
4.58 -0.991249 -0.132003
4.59 -0.99252 -0.122084
4.6 -0.993691 -0.112153
4.61 -0.994763 -0.10221
4.62 -0.995735 -0.0922576
4.63 -0.996608 -0.0822958
4.64 -0.997381 -0.0723258
4.65 -0.998054 -0.0623485
4.66 -0.998628 -0.052365
4.67 -0.999102 -0.0423763
4.68 -0.999476 -0.0323833
4.69 -0.999749 -0.0223871
4.7 -0.999923 -0.0123887
4.71 -0.999997 -0.00238898
4.72 -0.999971 0.00761095
4.73 -0.999845 0.0176101
4.74 -0.999619 0.0276075
4.75 -0.999293 0.0376022
4.76 -0.998867 0.047593
4.77 -0.998341 0.0575792
4.78 -0.997715 0.0675595
4.79 -0.99699 0.0775331
4.8 -0.996165 0.087499
4.81 -0.99524 0.0974561
4.82 -0.994216 0.107403
4.83 -0.993092 0.11734
4.84 -0.991869 0.127265
4.85 -0.990547 0.137177
4.86 -0.989125 0.147076
4.87 -0.987605 0.156959
4.88 -0.985986 0.166827
4.89 -0.984269 0.176679
4.9 -0.982453 0.186512
4.91 -0.980538 0.196327
4.92 -0.978526 0.206123
4.93 -0.976416 0.215898
4.94 -0.974208 0.225651
4.95 -0.971903 0.235381
4.96 -0.969501 0.245089
4.97 -0.967001 0.254771
4.98 -0.964405 0.264428
4.99 -0.961713 0.274059
5 -0.958924 0.283662
5.01 -0.95604 0.293237
5.02 -0.95306 0.302783
5.03 -0.949984 0.312298
5.04 -0.946814 0.321782
5.05 -0.943549 0.331234
5.06 -0.940189 0.340653
5.07 -0.936736 0.350037
5.08 -0.933189 0.359387
5.09 -0.929548 0.368701
5.1 -0.925815 0.377978
5.11 -0.921989 0.387217
5.12 -0.91807 0.396417
5.13 -0.91406 0.405578
5.14 -0.909959 0.414698
5.15 -0.905767 0.423777
5.16 -0.901484 0.432813
5.17 -0.897111 0.441806
5.18 -0.892648 0.450755
5.19 -0.888096 0.459659
5.2 -0.883455 0.468517
5.21 -0.878725 0.477328
5.22 -0.873908 0.486091
5.23 -0.869004 0.494806
5.24 -0.864012 0.503471
5.25 -0.858934 0.512085
5.26 -0.853771 0.520649
5.27 -0.848522 0.529161
5.28 -0.843188 0.537619
5.29 -0.837769 0.546024
5.3 -0.832267 0.554374
5.31 -0.826682 0.562669
5.32 -0.821014 0.570908
5.33 -0.815264 0.579089
5.34 -0.809433 0.587213
5.35 -0.80352 0.595278
5.36 -0.797527 0.603283
5.37 -0.791455 0.611228
5.38 -0.785303 0.619112
5.39 -0.779073 0.626934
5.4 -0.772764 0.634693
5.41 -0.766379 0.642389
5.42 -0.759917 0.65002
5.43 -0.753379 0.657587
5.44 -0.746765 0.665088
5.45 -0.740077 0.672522
5.46 -0.733315 0.679889
5.47 -0.72648 0.687188
5.48 -0.719572 0.694418
5.49 -0.712592 0.701579
5.5 -0.70554 0.70867
5.51 -0.698418 0.71569
5.52 -0.691227 0.722638
5.53 -0.683966 0.729514
5.54 -0.676637 0.736317
5.55 -0.66924 0.743046
5.56 -0.661776 0.749702
5.57 -0.654246 0.756282
5.58 -0.646651 0.762786
5.59 -0.638991 0.769215
5.6 -0.631267 0.775566
5.61 -0.62348 0.78184
5.62 -0.61563 0.788035
5.63 -0.607719 0.794152
5.64 -0.599747 0.800189
5.65 -0.591716 0.806147
5.66 -0.583625 0.812024
5.67 -0.575475 0.817819
5.68 -0.567269 0.823533
5.69 -0.559005 0.829164
5.7 -0.550686 0.834713
5.71 -0.542311 0.840178
5.72 -0.533882 0.845559
5.73 -0.5254 0.850855
5.74 -0.516865 0.856067
5.75 -0.508279 0.861192
5.76 -0.499642 0.866232
5.77 -0.490955 0.871185
5.78 -0.482218 0.876051
5.79 -0.473434 0.880829
5.8 -0.464602 0.88552
5.81 -0.455724 0.890121
5.82 -0.4468 0.894634
5.83 -0.437832 0.899057
5.84 -0.428819 0.90339
5.85 -0.419764 0.907633
5.86 -0.410667 0.911785
5.87 -0.401529 0.915846
5.88 -0.39235 0.919816
5.89 -0.383133 0.923693
5.9 -0.373877 0.927478
5.91 -0.364583 0.931171
5.92 -0.355254 0.93477
5.93 -0.345888 0.938276
5.94 -0.336488 0.941688
5.95 -0.327055 0.945005
5.96 -0.317589 0.948229
5.97 -0.308091 0.951357
5.98 -0.298562 0.95439
5.99 -0.289003 0.957328
6 -0.279415 0.96017
6.01 -0.2698 0.962916
6.02 -0.260157 0.965566
6.03 -0.250489 0.968119
6.04 -0.240795 0.970576
6.05 -0.231078 0.972935
6.06 -0.221337 0.975197
6.07 -0.211574 0.977362
6.08 -0.20179 0.979429
6.09 -0.191986 0.981398
6.1 -0.182163 0.983268
6.11 -0.172321 0.985041
6.12 -0.162462 0.986715
6.13 -0.152587 0.98829
6.14 -0.142697 0.989766
6.15 -0.132792 0.991144
6.16 -0.122874 0.992422
6.17 -0.112944 0.993601
6.18 -0.103002 0.994681
6.19 -0.0930505 0.995661
6.2 -0.0830894 0.996542
6.21 -0.07312 0.997323
6.22 -0.0631433 0.998004
6.23 -0.0531602 0.998586
6.24 -0.0431719 0.999068
6.25 -0.0331792 0.999449
6.26 -0.0231832 0.999731
6.27 -0.0131849 0.999913
6.28 -0.0031853 0.999995
6.29 0.00681464 0.999977
6.3 0.0168139 0.999859
6.31 0.0268115 0.999641
6.32 0.0368064 0.999322
6.33 0.0467976 0.998904
6.34 0.0567841 0.998386
6.35 0.066765 0.997769
6.36 0.0767392 0.997051
6.37 0.0867057 0.996234
6.38 0.0966635 0.995317
6.39 0.106612 0.994301
6.4 0.116549 0.993185
6.41 0.126475 0.99197
6.42 0.136388 0.990655
6.43 0.146288 0.989242
6.44 0.156173 0.98773
6.45 0.166042 0.986119
6.46 0.175895 0.984409
6.47 0.18573 0.982601
6.48 0.195547 0.980694
6.49 0.205344 0.97869
6.5 0.21512 0.976588
6.51 0.224875 0.974388
6.52 0.234607 0.97209
6.53 0.244316 0.969696
6.54 0.254001 0.967204
6.55 0.26366 0.964616
6.56 0.273293 0.961931
6.57 0.282898 0.95915
6.58 0.292476 0.956273
6.59 0.302024 0.9533
6.6 0.311541 0.950233
6.61 0.321028 0.94707
6.62 0.330482 0.943812
6.63 0.339904 0.94046
6.64 0.349291 0.937014
6.65 0.358644 0.933474
6.66 0.367961 0.929841
6.67 0.37724 0.926115
6.68 0.386483 0.922297
6.69 0.395686 0.918386
6.7 0.40485 0.914383
6.71 0.413973 0.910289
6.72 0.423055 0.906104
6.73 0.432095 0.901828
6.74 0.441092 0.897462
6.75 0.450044 0.893006
6.76 0.458951 0.888461
6.77 0.467813 0.883827
6.78 0.476628 0.879105
6.79 0.485395 0.874295
6.8 0.494113 0.869397
6.81 0.502782 0.864413
6.82 0.511401 0.859342
6.83 0.519969 0.854185
6.84 0.528485 0.848943
6.85 0.536948 0.843616
6.86 0.545357 0.838204
6.87 0.553711 0.832709
6.88 0.562011 0.82713
6.89 0.570254 0.821469
6.9 0.57844 0.815725
6.91 0.586568 0.8099
6.92 0.594637 0.803994
6.93 0.602648 0.798007
6.94 0.610597 0.791941
6.95 0.618486 0.785796
6.96 0.626313 0.779572
6.97 0.634077 0.77327
6.98 0.641778 0.76689
6.99 0.649415 0.760434
7 0.656987 0.753902
7.01 0.664493 0.747295
7.02 0.671932 0.740613
7.03 0.679305 0.733856
7.04 0.686609 0.727027
7.05 0.693845 0.720124
7.06 0.701011 0.71315
7.07 0.708108 0.706104
7.08 0.715133 0.698988
7.09 0.722087 0.691802
7.1 0.728969 0.684547
7.11 0.735778 0.677223
7.12 0.742513 0.669831
7.13 0.749174 0.662373
7.14 0.755761 0.654848
7.15 0.762271 0.647258
7.16 0.768705 0.639603
7.17 0.775063 0.631884
7.18 0.781343 0.624102
7.19 0.787545 0.616257
7.2 0.793668 0.608351
7.21 0.799712 0.600384
7.22 0.805675 0.592357
7.23 0.811559 0.584271
7.24 0.817361 0.576126
7.25 0.823081 0.567924
7.26 0.828719 0.559665
7.27 0.834274 0.55135
7.28 0.839746 0.54298
7.29 0.845133 0.534555
7.3 0.850437 0.526078
7.31 0.855655 0.517547
7.32 0.860787 0.508965
7.33 0.865834 0.500332
7.34 0.870794 0.491648
7.35 0.875667 0.482916
7.36 0.880452 0.474135
7.37 0.885149 0.465307
7.38 0.889758 0.456433
7.39 0.894278 0.447512
7.4 0.898708 0.438547
7.41 0.903049 0.429538
7.42 0.907299 0.420487
7.43 0.911458 0.411393
7.44 0.915526 0.402258
7.45 0.919503 0.393083
7.46 0.923388 0.383868
7.47 0.92718 0.374615
7.48 0.93088 0.365325
7.49 0.934487 0.355998
7.5 0.938 0.346635
7.51 0.941419 0.337238
7.52 0.944745 0.327807
7.53 0.947975 0.318344
7.54 0.951111 0.308848
7.55 0.954152 0.299322
7.56 0.957098 0.289765
7.57 0.959947 0.28018
7.58 0.962701 0.270567
7.59 0.965359 0.260926
7.6 0.96792 0.25126
7.61 0.970384 0.241568
7.62 0.972751 0.231852
7.63 0.975021 0.222114
7.64 0.977193 0.212352
7.65 0.979268 0.20257
7.66 0.981244 0.192767
7.67 0.983123 0.182945
7.68 0.984903 0.173105
7.69 0.986585 0.163248
7.7 0.988168 0.153374
7.71 0.989653 0.143485
7.72 0.991038 0.133581
7.73 0.992324 0.123664
7.74 0.993511 0.113735
7.75 0.994599 0.103794
7.76 0.995587 0.0938433
7.77 0.996476 0.0838829
7.78 0.997265 0.0739142
7.79 0.997954 0.063938
7.8 0.998543 0.0539554
7.81 0.999033 0.0439675
7.82 0.999423 0.0339751
7.83 0.999712 0.0239793
7.84 0.999902 0.0139812
7.85 0.999992 0.00398162
7.86 0.999982 -0.00601833
7.87 0.999872 -0.0160177
7.88 0.999662 -0.0260154
7.89 0.999351 -0.0360106
7.9 0.998941 -0.0460021
7.91 0.998431 -0.0559891
7.92 0.997822 -0.0659704
7.93 0.997112 -0.0759452
7.94 0.996303 -0.0859123
7.95 0.995394 -0.0958709
7.96 0.994385 -0.10582
7.97 0.993277 -0.115758
7.98 0.99207 -0.125685
7.99 0.990764 -0.135599
8 0.989358 -0.1455
8.01 0.987854 -0.155386
8.02 0.986251 -0.165257
8.03 0.984549 -0.175111
8.04 0.982748 -0.184947
8.05 0.98085 -0.194765
8.06 0.978853 -0.204564
8.07 0.976759 -0.214342
8.08 0.974566 -0.224099
8.09 0.972277 -0.233833
8.1 0.96989 -0.243544
8.11 0.967406 -0.253231
8.12 0.964825 -0.262892
8.13 0.962148 -0.272527
8.14 0.959375 -0.282135
8.15 0.956506 -0.291714
8.16 0.953541 -0.301264
8.17 0.95048 -0.310785
8.18 0.947325 -0.320274
8.19 0.944075 -0.329731
8.2 0.940731 -0.339155
8.21 0.937292 -0.348545
8.22 0.93376 -0.3579
8.23 0.930134 -0.36722
8.24 0.926415 -0.376503
8.25 0.922604 -0.385748
8.26 0.918701 -0.394955
8.27 0.914705 -0.404122
8.28 0.910618 -0.413248
8.29 0.90644 -0.422334
8.3 0.902172 -0.431377
8.31 0.897813 -0.440377
8.32 0.893364 -0.449333
8.33 0.888827 -0.458244
8.34 0.8842 -0.467109
8.35 0.879484 -0.475928
8.36 0.874681 -0.484698
8.37 0.869791 -0.493421
8.38 0.864813 -0.502094
8.39 0.859749 -0.510717
8.4 0.854599 -0.519289
8.41 0.849363 -0.527809
8.42 0.844043 -0.536276
8.43 0.838638 -0.544689
8.44 0.833149 -0.553048
8.45 0.827577 -0.561352
8.46 0.821922 -0.569599
8.47 0.816185 -0.57779
8.48 0.810367 -0.585923
8.49 0.804467 -0.593997
8.5 0.798487 -0.602012
8.51 0.792427 -0.609967
8.52 0.786288 -0.61786
8.53 0.78007 -0.625692
8.54 0.773774 -0.633461
8.55 0.767401 -0.641167
8.56 0.760951 -0.648809
8.57 0.754425 -0.656386
8.58 0.747824 -0.663897
8.59 0.741147 -0.671342
8.6 0.734397 -0.67872
8.61 0.727573 -0.68603
8.62 0.720677 -0.693271
8.63 0.713708 -0.700443
8.64 0.706668 -0.707545
8.65 0.699557 -0.714576
8.66 0.692377 -0.721536
8.67 0.685127 -0.728424
8.68 0.677809 -0.735238
8.69 0.670422 -0.74198
8.7 0.662969 -0.748647
8.71 0.65545 -0.755239
8.72 0.647865 -0.761755
8.73 0.640215 -0.768196
8.74 0.632501 -0.77456
8.75 0.624724 -0.780846
8.76 0.616884 -0.787054
8.77 0.608983 -0.793183
8.78 0.601021 -0.799233
8.79 0.592999 -0.805203
8.8 0.584917 -0.811093
8.81 0.576777 -0.816902
8.82 0.568579 -0.822628
8.83 0.560325 -0.828273
8.84 0.552014 -0.833835
8.85 0.543648 -0.839313
8.86 0.535228 -0.844707
8.87 0.526755 -0.850017
8.88 0.518228 -0.855242
8.89 0.50965 -0.860382
8.9 0.501021 -0.865435
8.91 0.492342 -0.870402
8.92 0.483613 -0.875282
8.93 0.474836 -0.880074
8.94 0.466012 -0.884778
8.95 0.457141 -0.889394
8.96 0.448224 -0.893921
8.97 0.439263 -0.898359
8.98 0.430257 -0.902706
8.99 0.421209 -0.906964
9 0.412118 -0.91113
9.01 0.402987 -0.915206
9.02 0.393815 -0.91919
9.03 0.384603 -0.923082
9.04 0.375353 -0.926882
9.05 0.366066 -0.930589
9.06 0.356742 -0.934203
9.07 0.347382 -0.937724
9.08 0.337988 -0.941151
9.09 0.328559 -0.944483
9.1 0.319098 -0.947722
9.11 0.309605 -0.950865
9.12 0.300081 -0.953914
9.13 0.290527 -0.956867
9.14 0.280944 -0.959724
9.15 0.271333 -0.962485
9.16 0.261695 -0.965151
9.17 0.252031 -0.967719
9.18 0.242341 -0.970191
9.19 0.232627 -0.972566
9.2 0.22289 -0.974844
9.21 0.21313 -0.977024
9.22 0.20335 -0.979106
9.23 0.193549 -0.981091
9.24 0.183728 -0.982977
9.25 0.173889 -0.984765
9.26 0.164033 -0.986455
9.27 0.154161 -0.988046
9.28 0.144273 -0.989538
9.29 0.13437 -0.990931
9.3 0.124454 -0.992225
9.31 0.114526 -0.99342
9.32 0.104586 -0.994516
9.33 0.0946361 -0.995512
9.34 0.0846764 -0.996409
9.35 0.0747083 -0.997205
9.36 0.0647327 -0.997903
